DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240205378,01/25/2024 12:00:00 AM,01/25/2024 12:00:00 AM,1455,2,Rampart,246,2,888,TRESPASSING,0910 1822 1501,0,X,X,904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,,,IC,Invest Cont,888,,,,600 S  ALVARADO                     ST,,34.0595,-118.2749
240906703,03/12/2024 12:00:00 AM,03/11/2024 12:00:00 AM,1600,9,Van Nuys,905,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,WYANDOTTE                    ST,VISTA DEL MONTE              AV,34.203,-118.4501
242007662,03/24/2024 12:00:00 AM,03/24/2024 12:00:00 AM,930,20,Olympic,2097,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0913 1813 1276 0340 1203,20,F,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,RAYMOND,20TH                         ST,34.0376,-118.2974
240308388,03/27/2024 12:00:00 AM,03/27/2024 12:00:00 AM,1300,3,Southwest,363,1,210,ROBBERY,1822 0104 0325 0342 0444 0945,23,X,X,402,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,3900    CRENSHAW                     BL,,34.0121,-118.3351
241012308,11/15/2024 12:00:00 AM,11/11/2024 12:00:00 AM,1330,10,West Valley,1019,1,330,BURGLARY FROM VEHICLE,0913 0344 1300 1803,66,M,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,7900    HASKELL                      AV,,34.2139,-118.4749
241210755,04/26/2024 12:00:00 AM,04/25/2024 12:00:00 AM,1700,12,77th Street,1265,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8400 S  VERMONT                      AV,,33.9611,-118.2917
240709778,06/26/2024 12:00:00 AM,03/13/2024 12:00:00 AM,500,7,Wilshire,789,2,354,THEFT OF IDENTITY,0100 1822 0930,39,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2000    3RD                          AV,,34.0387,-118.3201
240309156,04/13/2024 12:00:00 AM,04/13/2024 12:00:00 AM,1235,3,Southwest,353,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104 1822,23,X,X,405,CLOTHING STORE,,,IC,Invest Cont,442,,,,CRENSHAW                     BL,OBAMA                        BL,34.0214,-118.3351
241512832,08/15/2024 12:00:00 AM,08/15/2024 12:00:00 AM,1405,15,N Hollywood,1586,2,888,TRESPASSING,1501 0910 1822 2052,0,X,X,912,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY,,,IC,Invest Cont,888,,,,3900    LANKERSHIM                   BL,,34.1393,-118.362
240316739,12/03/2024 12:00:00 AM,11/30/2024 12:00:00 AM,2100,3,Southwest,326,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1202 0344 1822,61,M,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,1600 W  ADAMS                        BL,,34.0328,-118.2974
240316894,12/09/2024 12:00:00 AM,12/06/2024 12:00:00 AM,2300,3,Southwest,391,1,330,BURGLARY FROM VEHICLE,0344 1300 1601 1822,57,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,,,,4100    DON LUIS                     DR,,34.0066,-118.3423
241506264,02/15/2024 12:00:00 AM,02/15/2024 12:00:00 AM,1950,15,N Hollywood,1524,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 1309 0358 0329 0344 1300,0,M,O,203,OTHER BUSINESS,219.0,SCREWDRIVER,IC,Invest Cont,341,,,,12100    VICTORY                      BL,,34.1867,-118.3965
241415039,11/13/2024 12:00:00 AM,11/11/2024 12:00:00 AM,1305,14,Pacific,1426,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,21,M,U,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,3200    SAWTELLE                     BL,,34.0237,-118.4294
241410558,06/16/2024 12:00:00 AM,06/15/2024 12:00:00 AM,1700,14,Pacific,1427,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,40,F,H,504,OTHER RESIDENCE,,,IC,Invest Cont,740,,,,11100    NATIONAL                     BL,,34.0282,-118.4265
241409818,05/28/2024 12:00:00 AM,05/28/2024 12:00:00 AM,105,14,Pacific,1479,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5600 W  MANCHESTER                   AV,,33.9654,-118.3783
240811662,10/28/2024 12:00:00 AM,10/28/2024 12:00:00 AM,1758,8,West LA,852,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,11800    SANTA MONICA                 BL,,34.0428,-118.4582
241212709,06/14/2024 12:00:00 AM,06/03/2024 12:00:00 AM,530,12,77th Street,1283,1,480,BIKE - STOLEN,0344 1822,36,F,H,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,480,,,,1700 W  CENTURY                      BL,,33.9455,-118.3068
240404302,01/10/2024 12:00:00 AM,01/10/2024 12:00:00 AM,1745,4,Hollenbeck,497,1,210,ROBBERY,0344 0443,0,X,X,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,2800 E  OLYMPIC                      BL,,34.0234,-118.2177
240207206,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1900,2,Rampart,275,2,624,BATTERY - SIMPLE ASSAULT,0416 0913 1820,29,F,H,122,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,ALVARADO                     ST,JAMES M WOOD,34.0533,-118.2788
241705662,02/10/2024 12:00:00 AM,02/10/2024 12:00:00 AM,640,17,Devonshire,1764,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,AA,Adult Arrest,510,,,,19500    NORDHOFF                     ST,,34.2355,-118.5574
241810811,06/19/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2035,18,Southeast,1822,2,354,THEFT OF IDENTITY,1822 0100 0922 0923,32,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,100 W  COLDEN                       AV,,33.9492,-118.2739
241207188,02/21/2024 12:00:00 AM,01/30/2024 12:00:00 AM,1039,12,77th Street,1241,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394 0361,32,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,6500    BRYNHURST                    AV,,33.9806,-118.3338
240707416,03/22/2024 12:00:00 AM,03/22/2024 12:00:00 AM,1530,7,Wilshire,765,2,662,"BUNCO, GRAND THEFT",1300 1606 0701 0344,0,X,X,108,PARKING LOT,,,IC,Invest Cont,662,,,,4700 W  PICO                         BL,,34.0486,-118.3383
241306573,02/23/2024 12:00:00 AM,02/18/2024 12:00:00 AM,1300,13,Newton,1354,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 0602 0906 0913 1816 0302 0360,42,M,H,101,STREET,101.0,REVOLVER,IC,Invest Cont,230,,,,41ST                         ST,SAN PEDRO                    ST,34.0082,-118.2705
240206815,02/25/2024 12:00:00 AM,02/25/2024 12:00:00 AM,900,2,Rampart,246,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0416 0447 1402,49,M,H,102,SIDEWALK,312.0,PIPE/METAL PIPE,IC,Invest Cont,230,998.0,,,600 S  ALVARADO                     ST,,34.0595,-118.2749
240707398,03/21/2024 12:00:00 AM,03/21/2024 12:00:00 AM,1000,7,Wilshire,779,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0342 0329 1822,74,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,1700    4TH                          AV,,34.0418,-118.3213
240404740,01/24/2024 12:00:00 AM,01/23/2024 12:00:00 AM,2300,4,Hollenbeck,421,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2400    MANITOU                      AV,,34.0718,-118.2169
241008483,05/04/2024 12:00:00 AM,05/03/2024 12:00:00 AM,2024,10,West Valley,1094,1,310,BURGLARY,0352 0321 0344 9999 1822,34,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,18000    KAREN                        DR,,34.1551,-118.5244
240308728,04/03/2024 12:00:00 AM,04/03/2024 12:00:00 AM,1544,3,Southwest,333,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0416 0443 0446 0913 1251 1259 1815 2024,15,M,H,102,SIDEWALK,511.0,VERBAL THREAT,IC,Invest Cont,930,,,,37TH                         ST,HARVARD                      BL,34.0278,-118.3378
240106652,02/06/2024 12:00:00 AM,02/06/2024 12:00:00 AM,1400,1,Central,135,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0448,24,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,300 S  MAIN                         ST,,34.0495,-118.2459
242105324,02/03/2024 12:00:00 AM,02/03/2024 12:00:00 AM,455,21,Topanga,2161,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,23800    CALIFA                       ST,,34.1779,-118.6446
241908421,04/30/2024 12:00:00 AM,04/25/2024 12:00:00 AM,1756,19,Mission,1984,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822,29,M,O,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440,,,,8300    WILLIS                       AV,,34.2215,-118.4553
241007532,04/05/2024 12:00:00 AM,04/05/2024 12:00:00 AM,1515,10,West Valley,1028,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1202 1300 0329 1822,63,F,W,122,"VEHICLE, PASSENGER/TRUCK",500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,740,,,,16600    SHERMAN                      WY,,34.2011,-118.4951
241205035,01/17/2024 12:00:00 AM,01/11/2024 12:00:00 AM,700,12,77th Street,1257,2,624,BATTERY - SIMPLE ASSAULT,0419 0416,68,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,300 W  78TH                         ST,,33.9689,-118.2783
240411936,11/29/2024 12:00:00 AM,11/29/2024 12:00:00 AM,2300,4,Hollenbeck,471,2,888,TRESPASSING,1822,0,M,X,152,UNDERPASS/BRIDGE*,,,IC,Invest Cont,888,,,,E  6TH                          ST,S  MISSION                      RD,34.0391,-118.2241
241805946,02/10/2024 12:00:00 AM,02/10/2024 12:00:00 AM,840,18,Southeast,1802,2,624,BATTERY - SIMPLE ASSAULT,0913 0416 1218,42,F,H,517,MISSIONS/SHELTERS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,8700 S  BROADWAY,,33.9586,-118.2782
241209683,04/08/2024 12:00:00 AM,04/07/2024 12:00:00 AM,2345,12,77th Street,1283,1,210,ROBBERY,0344 0913 1814 2000 0400 0416 2004,46,F,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,S  WESTERN                      AV,W  103RD                        ST,33.9432,-118.309
242012187,09/17/2024 12:00:00 AM,09/17/2024 12:00:00 AM,755,20,Olympic,2024,2,888,TRESPASSING,1822 0910 2052,0,X,X,922,MTA - PURPLE LINE - WILSHIRE/WESTERN,,,IC,Invest Cont,888,,,,3700    WILSHIRE                     BL,,34.0636,-118.3047
241509675,04/28/2024 12:00:00 AM,04/26/2024 12:00:00 AM,1725,15,N Hollywood,1531,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,39,F,O,101,STREET,,,IC,Invest Cont,745,,,,5900    WHITSETT                     AV,,34.174,-118.4095
240911807,09/25/2024 12:00:00 AM,09/24/2024 12:00:00 AM,2000,9,Van Nuys,904,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1501,22,M,H,405,CLOTHING STORE,,,IC,Invest Cont,442,,,,7900 N  SEPULVEDA                    BL,,34.2141,-118.4662
241315577,12/15/2024 12:00:00 AM,12/14/2024 12:00:00 AM,2242,13,Newton,1385,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 E  61ST                         ST,,33.9844,-118.2609
241415205,11/20/2024 12:00:00 AM,08/25/2024 12:00:00 AM,1246,14,Pacific,1415,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0104 0325,0,X,X,406,OTHER STORE,,,IC,Invest Cont,442,,,,200    LINCOLN                      BL,,34.0018,-118.4688
240807306,03/25/2024 12:00:00 AM,03/22/2024 12:00:00 AM,1445,8,West LA,851,2,624,BATTERY - SIMPLE ASSAULT,0417,49,M,O,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1500    BROCKTON                     AV,,34.0375,-118.4622
240912031,10/03/2024 12:00:00 AM,09/29/2024 12:00:00 AM,1800,9,Van Nuys,952,1,510,VEHICLE - STOLEN,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,15300    WEDDINGTON                   ST,,34.1667,-118.4662
241011883,10/23/2024 12:00:00 AM,10/16/2024 12:00:00 AM,1430,10,West Valley,1008,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,15900    STRATHERN                    ST,,34.2157,-118.4793
241208970,03/25/2024 12:00:00 AM,03/24/2024 12:00:00 AM,1430,12,77th Street,1233,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,52,F,B,203,OTHER BUSINESS,,,AA,Adult Arrest,341,,,,1600 W  SLAUSON                      AV,,33.9892,-118.3045
241514413,10/07/2024 12:00:00 AM,10/05/2024 12:00:00 AM,800,15,N Hollywood,1502,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,104,DRIVEWAY,,,IC,Invest Cont,420,,,,12600    DIVAN                        PL,,34.2124,-118.4092
240211766,07/08/2024 12:00:00 AM,07/02/2024 12:00:00 AM,715,2,Rampart,212,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,21,M,H,103,ALLEY,,,IC,Invest Cont,440,,,,MELROSE,VERMONT,34.0836,-118.2917
241508402,03/31/2024 12:00:00 AM,03/23/2024 12:00:00 AM,840,15,N Hollywood,1566,2,903,CONTEMPT OF COURT,0913 2038,38,M,W,254,STUDIO (FILM/PHOTOGRAPHIC/MUSIC),,,AO,Adult Other,903,,,,10800    LANDALE                      ST,,34.1513,-118.3664
240707395,03/21/2024 12:00:00 AM,03/15/2024 12:00:00 AM,2340,7,Wilshire,705,1,330,BURGLARY FROM VEHICLE,0344 1822 0358,58,F,H,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,500 N  LA BREA                      AV,,34.0846,-118.3464
241704029,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,200,17,Devonshire,1701,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1814 2000 0913 0419 0448,27,F,O,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,12300    FINCH                        CT,,34.2957,-118.5832
240122974,12/28/2024 12:00:00 AM,12/27/2024 12:00:00 AM,1800,1,Central,174,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300,27,M,H,108,PARKING LOT,,,IC,Invest Cont,420,,,,8TH                          ST,SPRING,34.0431,-118.2537
242014146,12/23/2024 12:00:00 AM,12/22/2024 12:00:00 AM,300,20,Olympic,2014,1,330,BURGLARY FROM VEHICLE,1307 1609 0344 1822,35,M,F,101,STREET,,,IC,Invest Cont,330,,,,200 S  HOBART                       BL,,34.0712,-118.3055
241411597,07/25/2024 12:00:00 AM,07/19/2024 12:00:00 AM,1900,14,Pacific,1489,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,5200 W  CENTURY                      BL,,33.949,-118.3744
240907369,03/28/2024 12:00:00 AM,03/27/2024 12:00:00 AM,1000,9,Van Nuys,979,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,63,F,W,101,STREET,,,IC,Invest Cont,440,,,,4600    COLDWATER CANYON             AV,,34.1536,-118.4181
241810294,05/25/2024 12:00:00 AM,05/25/2024 12:00:00 AM,1405,18,Southeast,1831,2,354,THEFT OF IDENTITY,0924 0927 1822,31,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,800 W  ATHENS                       BL,,33.9228,-118.2891
240907083,03/21/2024 12:00:00 AM,03/10/2024 12:00:00 AM,1200,9,Van Nuys,981,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822 1307,29,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,4300 N  SEPULVEDA                    BL,,34.1537,-118.4662
241812660,08/30/2024 12:00:00 AM,08/08/2024 12:00:00 AM,1753,18,Southeast,1851,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0342 0344 0325,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,13400 S  FIGUEROA                     ST,,33.9102,-118.2827
241108426,05/30/2024 12:00:00 AM,05/19/2024 12:00:00 AM,1900,11,Northeast,1129,1,330,BURGLARY FROM VEHICLE,0344 1302 1307,34,F,B,504,OTHER RESIDENCE,,,IC,Invest Cont,330,,,,100    BRIDEWELL                    ST,,34.1131,-118.1776
240311259,06/10/2024 12:00:00 AM,06/08/2024 12:00:00 AM,2100,3,Southwest,337,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385 0344 1300 1822 1202,61,F,K,101,STREET,,,IC,Invest Cont,331,,,,2900 S  HARVARD                      BL,,34.0291,-118.3067
241809609,05/01/2024 12:00:00 AM,05/01/2024 12:00:00 AM,1720,18,Southeast,1837,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1822 0342,25,F,H,102,SIDEWALK,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,IC,Invest Cont,230,,,,GRANDEE,108TH                        ST,33.9379,-118.244
241106503,03/06/2024 12:00:00 AM,03/05/2024 12:00:00 AM,1416,11,Northeast,1189,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,0,X,X,407,HARDWARE/BUILDING SUPPLY,,,IC,Invest Cont,442,,,,2000 N  FIGUEROA                     ST,,34.0817,-118.2253
241713532,10/14/2024 12:00:00 AM,10/14/2024 12:00:00 AM,1530,17,Devonshire,1735,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0377 2032 0930 1822 0344,58,F,K,406,OTHER STORE,,,IC,Invest Cont,440,,,,18000    CHATSWORTH                   ST,,34.2684,-118.5149
241210401,04/18/2024 12:00:00 AM,04/16/2024 12:00:00 AM,450,12,77th Street,1265,1,330,BURGLARY FROM VEHICLE,0344 0377 0329 1609,39,F,B,101,STREET,,,IC,Invest Cont,330,,,,1000 W  85TH                         ST,,33.961,-118.2919
241608689,06/02/2024 12:00:00 AM,06/02/2024 12:00:00 AM,2130,16,Foothill,1642,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0385 1822,42,F,H,101,STREET,,,IC,Invest Cont,331,,,,10200    ONEIDA                       AV,,34.2566,-118.4225
241007732,04/13/2024 12:00:00 AM,04/13/2024 12:00:00 AM,1054,10,West Valley,1015,1,350,"THEFT, PERSON",0345 0377 0344 1822,42,F,O,102,SIDEWALK,,,IC,Invest Cont,350,,,,18200    SHERMAN                      WY,,34.2012,-118.5296
241909646,06/21/2024 12:00:00 AM,06/16/2024 12:00:00 AM,1000,19,Mission,1961,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,9400 N  SEPULVEDA                    BL,,34.2446,-118.4676
241413861,10/06/2024 12:00:00 AM,10/05/2024 12:00:00 AM,1835,14,Pacific,1403,1,480,BIKE - STOLEN,0344,26,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,480,,,,11000    NATIONAL                     BL,,34.0301,-118.4272
242113057,11/11/2024 12:00:00 AM,11/10/2024 12:00:00 AM,1200,21,Topanga,2107,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,19,F,H,207,BAR/COCKTAIL/NIGHTCLUB,,,IC,Invest Cont,440,,,,20900    ROSCOE                       BL,,34.2234,-118.5932
240316932,12/11/2024 12:00:00 AM,12/06/2024 12:00:00 AM,2000,3,Southwest,363,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1822,25,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,3700    SANTA ROSALIA                DR,,34.0077,-118.3383
240308033,03/20/2024 12:00:00 AM,03/20/2024 12:00:00 AM,615,3,Southwest,393,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0216 0302 0416 1309 1822,42,M,H,102,SIDEWALK,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,AO,Adult Other,230,,,,43RD                         ST,DEGNAN                       BL,34.006,-118.3314
241011281,09/26/2024 12:00:00 AM,09/26/2024 12:00:00 AM,1030,10,West Valley,1011,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,19300    WYANDOTTE                    ST,,34.2029,-118.5535
241305684,02/06/2024 12:00:00 AM,02/02/2024 12:00:00 AM,400,13,Newton,1377,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5300    LONG BEACH                   AV,,33.9947,-118.2432
240711616,09/26/2024 12:00:00 AM,09/25/2024 12:00:00 AM,1800,7,Wilshire,752,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1000    STEARNS                      DR,,34.0587,-118.3681
241217759,12/05/2024 12:00:00 AM,12/05/2024 12:00:00 AM,700,12,77th Street,1259,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,7800    STANFORD                     AV,,33.9684,-118.263
241308315,04/12/2024 12:00:00 AM,04/07/2024 12:00:00 AM,100,13,Newton,1313,1,330,BURGLARY FROM VEHICLE,0344 1609 1300,28,M,W,101,STREET,,,IC,Invest Cont,330,,,,1100 E  18TH                         ST,,34.0262,-118.2518
241912682,10/28/2024 12:00:00 AM,10/26/2024 12:00:00 AM,1900,19,Mission,1984,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,8400    WILLIS                       AV,,34.2231,-118.4553
241110994,09/26/2024 12:00:00 AM,09/25/2024 12:00:00 AM,1830,11,Northeast,1123,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,DOVER,REVERE,34.124,-118.2622
241205015,01/17/2024 12:00:00 AM,01/16/2024 12:00:00 AM,1830,12,77th Street,1273,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1400 W  87TH                         ST,,33.959,-118.3003
242106395,02/29/2024 12:00:00 AM,02/28/2024 12:00:00 AM,1500,21,Topanga,2115,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,53,F,W,108,PARKING LOT,,,IC,Invest Cont,440,,,,8200    TOPANGA CANYON               BL,,34.2176,-118.606
240411702,11/25/2024 12:00:00 AM,11/25/2024 12:00:00 AM,530,4,Hollenbeck,471,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,600 S  CLARENCE                     ST,,34.0391,-118.2231
241514463,10/05/2024 12:00:00 AM,10/03/2024 12:00:00 AM,1,15,N Hollywood,1544,1,330,BURGLARY FROM VEHICLE,1822 0325 0358 0344,63,M,W,101,STREET,,,IC,Invest Cont,330,,,,5000    LAUREL CANYON                BL,,34.1613,-118.4008
242004281,01/09/2024 12:00:00 AM,01/08/2024 12:00:00 AM,2130,20,Olympic,2022,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,300 S  GRAMERCY                     PL,,34.069,-118.3128
240208211,03/26/2024 12:00:00 AM,03/25/2024 12:00:00 AM,2330,2,Rampart,237,1,330,BURGLARY FROM VEHICLE,1822 1307 1609 0329 0344,30,M,W,101,STREET,,,IC,Invest Cont,330,,,,WITMER                       ST,BEVERLY,34.0622,-118.2607
241505759,02/05/2024 12:00:00 AM,02/03/2024 12:00:00 AM,1500,15,N Hollywood,1517,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6600    ELMER                        AV,,34.1903,-118.3769
240611123,08/11/2024 12:00:00 AM,08/11/2024 12:00:00 AM,3,6,Hollywood,646,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 1501,23,F,O,735,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,440,,,,1600 N  LAS PALMAS                   AV,,34.0997,-118.3361
241311372,07/18/2024 12:00:00 AM,07/18/2024 12:00:00 AM,1845,13,Newton,1375,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,S  CENTRAL                      AV,E  56TH                         ST,33.9916,-118.2564
240808988,06/13/2024 12:00:00 AM,06/12/2024 12:00:00 AM,2000,8,West LA,849,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,900 S  SHERBOURNE                   DR,,34.061,-118.3793
241514370,10/03/2024 12:00:00 AM,10/03/2024 12:00:00 AM,930,15,N Hollywood,1549,2,888,TRESPASSING,0910 1822 2052,0,X,X,913,MTA - RED LINE - NORTH HOLLYWOOD,,,AA,Adult Arrest,888,,,,5300    LANKERSHIM                   BL,,34.172,-118.3789
240116058,08/04/2024 12:00:00 AM,08/04/2024 12:00:00 AM,735,1,Central,119,2,888,TRESPASSING,0910,0,X,X,834,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
240314591,09/23/2024 12:00:00 AM,09/14/2024 12:00:00 AM,1130,3,Southwest,357,2,888,TRESPASSING,0910,23,X,X,101,STREET,,,IC,Invest Cont,888,,,,1000    EXPOSITION                   BL,,34.0184,-118.2952
240810512,08/30/2024 12:00:00 AM,06/17/2024 12:00:00 AM,1620,8,West LA,852,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,203,OTHER BUSINESS,,,AA,Adult Arrest,442,,,,11800    SANTA MONICA                 BL,,34.0428,-118.4582
